Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue
538349,90120A,PINK MURANO TWIST BRACELET,1,2010-12-10 14:59:00,4.24,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,4.24
528952,84562A,PINK/WHITE RIBBED MELAMINE JUG,1,2010-10-25 16:57:00,16.98,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,16.98
499512,85099B,JUMBO BAG RED WHITE SPOTTY ,10,2010-03-01 09:13:00,1.95,16202.0,United Kingdom,19.5
494685,21945,STRAWBERRIES  DESIGN FLANNEL ,3,2010-01-18 11:39:00,0.85,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.55
579508,22951,60 CAKE CASES DOLLY GIRL DESIGN,3,2011-11-29 16:33:00,1.25,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,3.75
532150,21980,PACK OF 12 RED RETROSPOT TISSUES ,5,2010-11-11 12:06:00,0.29,16395.0,United Kingdom,1.45
560209,21927,BLUE/CREAM STRIPE CUSHION COVER ,6,2011-07-15 14:05:00,1.25,15004.0,United Kingdom,7.5
503204,22617,BAKING SET SPACEBOY DESIGN,3,2010-03-30 15:48:00,4.95,15680.0,United Kingdom,14.850000000000001
532114,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,5,2010-11-10 17:39:00,1.65,14030.0,United Kingdom,8.25
552372,21089,SET/6 GREEN SPRING PAPER CUPS,12,2011-05-09 12:29:00,0.19,13394.0,United Kingdom,2.2800000000000002
497207,21755,LOVE BUILDING BLOCK WORD,1,2010-02-07 12:15:00,5.95,14454.0,United Kingdom,5.95
544150,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,2011-02-16 11:59:00,4.95,14180.0,United Kingdom,19.8
540512,22469,HEART OF WICKER SMALL,1,2011-01-09 11:39:00,1.65,17114.0,United Kingdom,1.65
550778,22905,CALENDAR IN SEASON DESIGN,6,2011-04-20 13:36:00,2.95,14868.0,United Kingdom,17.700000000000003
581449,23439,HAND WARMER RED LOVE HEART,1,2011-12-08 17:37:00,2.1,12748.0,United Kingdom,2.1
537826,22474,SPACEBOY TV DINNER TRAY,2,2010-12-08 14:38:00,4.95,15581.0,United Kingdom,9.9
514507,20685,DOORMAT RED SPOT,2,2010-07-04 12:34:00,7.49,14415.0,United Kingdom,14.98
531806,22149,FELTCRAFT 6 FLOWER FRIENDS,3,2010-11-09 16:10:00,2.1,17757.0,United Kingdom,6.300000000000001
577554,22796,PHOTO FRAME 3 CLASSIC HANGING,2,2011-11-20 15:35:00,9.95,15533.0,United Kingdom,19.9
511488,21035,SET/2 RED SPOTTY TEA TOWELS ,6,2010-06-08 14:22:00,2.95,12843.0,United Kingdom,17.700000000000003
529604,84991,60 TEATIME FAIRY CAKE CASES,24,2010-10-29 10:17:00,0.55,15078.0,United Kingdom,13.200000000000001
530274,22813,PACK 3 BOXES BIRD PANNETONE ,12,2010-11-02 11:53:00,1.95,13983.0,United Kingdom,23.4
572866,20723,STRAWBERRY CHARLOTTE BAG,3,2011-10-26 13:07:00,0.85,15005.0,United Kingdom,2.55
577768,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,5,2011-11-21 15:18:00,3.29,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,16.45
541971,84913B,MINT GREEN ROSE TOWEL,1,2011-01-24 13:48:00,3.29,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,3.29
574950,23267,SET OF 4 SANTA PLACE SETTINGS,3,2011-11-08 09:29:00,2.46,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,7.38
519177,22296,HEART IVORY TRELLIS LARGE,12,2010-08-13 14:40:00,1.65,17589.0,United Kingdom,19.799999999999997
573265,23583,LUNCH BAG PAISLEY PARK  ,10,2011-10-28 12:39:00,1.65,16150.0,United Kingdom,16.5
521798,85099B,JUMBO BAG RED RETROSPOT,40,2010-09-08 14:14:00,1.95,15615.0,United Kingdom,78.0
503549,22383,LUNCH BAG SUKI  DESIGN ,2,2010-04-01 15:04:00,4.21,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,8.42
525928,21408,SPOTTY PINK DUCK DOORSTOP,2,2010-10-07 16:48:00,4.25,16072.0,United Kingdom,8.5
581334,23208,LUNCH BAG VINTAGE LEAF DESIGN,5,2011-12-08 12:07:00,1.65,17841.0,United Kingdom,8.25
519371,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2010-08-16 13:12:00,2.55,14606.0,United Kingdom,2.55
577768,16218,CARTOON  PENCIL SHARPENERS,5,2011-11-21 15:18:00,0.42,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.1
576212,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,2011-11-14 12:45:00,2.95,18082.0,United Kingdom,2.95
576074,23478,WOODLAND LARGE PINK FELT HEART,12,2011-11-13 16:14:00,1.25,13178.0,United Kingdom,15.0
514545,21504,SKULLS GREETING CARD,12,2010-07-05 10:50:00,0.36,17850.0,United Kingdom,4.32
513487,22528,GARDENERS KNEELING PAD,4,2010-06-24 18:06:00,1.25,13208.0,United Kingdom,5.0
572517,22141,CHRISTMAS CRAFT TREE TOP ANGEL,4,2011-10-24 14:47:00,2.1,15068.0,United Kingdom,8.4
524765,22807,SET OF 6 T-LIGHTS TOADSTOOLS,5,2010-09-30 15:47:00,5.91,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,29.55
550389,22916,HERB MARKER THYME,3,2011-04-18 11:53:00,0.65,17284.0,United Kingdom,1.9500000000000002
567672,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,2011-09-21 15:39:00,1.45,16085.0,United Kingdom,2.9
551850,85015,SET OF 12  VINTAGE POSTCARD SET,6,2011-05-04 14:33:00,2.55,13731.0,United Kingdom,15.299999999999999
499499,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-02-28 14:41:00,2.95,17211.0,United Kingdom,8.850000000000001
490483,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2009-12-06 12:52:00,12.75,13782.0,United Kingdom,25.5
510866,21214,SET OF 72 IVORY PAPER DOILIES,1,2010-06-04 09:52:00,1.45,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,1.45
558614,21197,MULTICOLOUR  CONFETTI IN TUBE,2,2011-06-30 15:56:00,0.83,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,1.66
556958,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-06-16 09:15:00,2.95,17490.0,United Kingdom,17.700000000000003
560034,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-07-14 13:35:00,1.25,13933.0,United Kingdom,15.0
559816,22504,CABIN BAG VINTAGE RETROSPOT,3,2011-07-12 16:11:00,16.63,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,49.89
525755,22218,CAKE STAND LACE WHITE,1,2010-10-07 10:23:00,8.47,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,8.47
494870,20865,PATCHWORK PENCIL CASE BUTTERFLY ,1,2010-01-19 12:15:00,2.1,15998.0,United Kingdom,2.1
578824,23476,WOODLAND LARGE RED FELT HEART,5,2011-11-25 14:02:00,1.25,17883.0,United Kingdom,6.25
555847,22768,FAMILY PHOTO FRAME CORNICE,2,2011-06-07 13:27:00,9.95,14880.0,United Kingdom,19.9
560601,22508,DOORSTOP RETROSPOT HEART,1,2011-07-19 17:17:00,3.75,16764.0,United Kingdom,3.75
555278,23084,RABBIT NIGHT LIGHT,3,2011-06-01 17:33:00,4.13,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,12.39
574950,90190A,SILVER/CRYSTAL DROP EARRINGS W LEAF,1,2011-11-08 09:29:00,2.9,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.9
498566,21622,VINTAGE UNION JACK CUSHION COVER,8,2010-02-21 12:36:00,4.95,16912.0,United Kingdom,39.6
547650,21164,HOME SWEET HOME METAL SIGN ,1,2011-03-24 12:08:00,2.95,17059.0,United Kingdom,2.95
500656,22367,CHILDS APRON SPACEBOY DESIGN,2,2010-03-09 11:19:00,1.95,18039.0,United Kingdom,3.9
517239,22423,REGENCY CAKESTAND 3 TIER,3,2010-07-27 14:08:00,12.75,15373.0,United Kingdom,38.25
519927,85230E,STRAWBRY SCENTED VOTIVE CANDLE,24,2010-08-22 15:12:00,0.29,17095.0,United Kingdom,6.959999999999999
491719,85099B,JUMBO BAG RED WHITE SPOTTY ,2,2009-12-13 16:03:00,1.95,17799.0,United Kingdom,3.9
525113,22744,MAKE YOUR OWN MONSOON CARD KIT,48,2010-10-04 11:30:00,2.55,13329.0,United Kingdom,122.39999999999999
507292,22624,IVORY KITCHEN SCALES,1,2010-05-07 14:28:00,16.98,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,16.98
508650,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-05-17 15:46:00,1.69,13605.0,United Kingdom,27.04
494993,20703,BLUE PADDED SOFT MOBILE,3,2010-01-20 12:05:00,4.25,17220.0,United Kingdom,12.75
551885,21499,BLUE POLKADOT WRAP,25,2011-05-05 09:18:00,0.42,16700.0,United Kingdom,10.5
556416,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-06-10 12:19:00,2.08,15527.0,United Kingdom,20.8
570688,23435,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,1,2011-10-11 16:29:00,0.83,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,0.83
518663,15056P,EDWARDIAN PARASOL PINK,1,2010-08-10 14:27:00,5.95,14044.0,United Kingdom,5.95
547830,22457,NATURAL SLATE HEART CHALKBOARD ,1,2011-03-25 15:50:00,5.79,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,5.79
538849,22188,BLACK HEART CARD HOLDER,2,2010-12-14 13:31:00,3.95,14415.0,United Kingdom,7.9
549837,22841,ROUND CAKE TIN VINTAGE GREEN,12,2011-04-12 13:38:00,6.95,16705.0,United Kingdom,83.4
535963,22508,DOORSTOP RETROSPOT HEART,1,2010-11-29 12:36:00,3.75,12748.0,United Kingdom,3.75
519358,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,1,2010-08-16 12:36:00,5.06,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,5.06
555275,23203,JUMBO BAG DOILEY PATTERNS,2,2011-06-01 17:18:00,4.13,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,8.26
560978,21912,VINTAGE SNAKES & LADDERS,12,2011-07-22 12:20:00,3.75,15815.0,United Kingdom,45.0
513764,48185,DOOR MAT FAIRY CAKE,1,2010-06-28 13:12:00,14.43,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,14.43
500659,21499,BLUE SPOTS  WRAP,25,2010-03-09 11:23:00,0.42,16558.0,United Kingdom,10.5
560978,22717,CARD DOG AND BALL ,24,2011-07-22 12:20:00,0.42,15815.0,United Kingdom,10.08
501863,48185,DOOR MAT FAIRY CAKE,2,2010-03-21 11:46:00,7.49,15650.0,United Kingdom,14.98
554557,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-05-25 10:12:00,0.95,15804.0,United Kingdom,11.399999999999999
540849,22113,GREY HEART HOT WATER BOTTLE,4,2011-01-12 09:33:00,3.75,14270.0,United Kingdom,15.0
525717,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2010-10-06 14:38:00,1.25,13418.0,United Kingdom,15.0
547656,22520,CHILDS GARDEN TROWEL BLUE ,1,2011-03-24 12:53:00,0.85,13263.0,United Kingdom,0.85
579470,22541,MINI JIGSAW LEAP FROG,4,2011-11-29 15:06:00,0.42,16549.0,United Kingdom,1.68
520673,21787,RAIN PONCHO WITH RED SPOTS,2,2010-08-27 14:13:00,0.85,17894.0,United Kingdom,1.7
544767,22469,HEART OF WICKER SMALL,3,2011-02-23 11:10:00,4.13,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,12.39
572225,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-10-21 13:50:00,8.5,13157.0,United Kingdom,34.0
576303,23379,PACK OF 12 RED APPLE TISSUES,12,2011-11-14 14:51:00,0.39,15532.0,United Kingdom,4.68
572302,23100,SILVER BELLS TABLE DECORATION,1,2011-10-23 14:47:00,1.25,15427.0,United Kingdom,1.25
532982,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-11-15 13:49:00,0.95,18225.0,United Kingdom,0.95
517760,21931,JUMBO STORAGE BAG SUKI,5,2010-08-02 10:42:00,1.95,17068.0,United Kingdom,9.75
503428,21016,LIGHT BIRD HOUSE TREE DECORATION,1,2010-03-31 17:31:00,2.51,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.51
529228,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,2010-10-27 11:29:00,4.25,14530.0,United Kingdom,4.25
520992,35961,FOLKART ZINC HEART CHRISTMAS DEC,5,2010-09-01 13:29:00,1.66,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,8.299999999999999
568390,21260,FIRST AID TIN,6,2011-09-27 10:08:00,3.25,17811.0,United Kingdom,19.5
489856,20724,RED SPOTTY CHARLOTTE BAG,5,2009-12-02 14:36:00,1.7,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,8.5
546007,84796A,PINK HAWAIIAN PICNIC HAMPER FOR 2,2,2011-03-08 15:34:00,8.29,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,16.58
522594,84673A,PINK FLY SWAT,1,2010-09-15 13:21:00,0.65,16005.0,United Kingdom,0.65
525019,47566,PARTY BUNTING,5,2010-10-03 11:52:00,4.65,14254.0,United Kingdom,23.25
571653,23506,MINI PLAYING CARDS SPACEBOY ,20,2011-10-18 12:17:00,0.36,14298.0,United Kingdom,7.199999999999999
503589,20717,STRAWBERRY SHOPPER BAG,1,2010-04-01 18:23:00,1.25,14710.0,United Kingdom,1.25
498769,22385,JUMBO BAG SPACEBOY DESIGN,100,2010-02-23 09:54:00,1.65,13093.0,United Kingdom,165.0
523344,22600,CHRISTMAS RETROSPOT STAR WOOD,10,2010-09-21 15:51:00,0.85,13031.0,United Kingdom,8.5
554157,20724,RED RETROSPOT CHARLOTTE BAG,2,2011-05-23 11:33:00,0.85,18283.0,United Kingdom,1.7
490834,84569D,PACK 6 HEART/ICE-CREAM PATCHES,9,2009-12-08 12:38:00,1.25,16400.0,United Kingdom,11.25
543660,20653,CHERRY BLOSSOM LUGGAGE TAG,1,2011-02-11 10:40:00,2.46,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.46
496247,22030,SWALLOWS GREETING CARD,1,2010-01-29 16:11:00,0.42,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,0.42
559342,15039,SANDALWOOD FAN,10,2011-07-07 16:59:00,0.85,14493.0,United Kingdom,8.5
526355,22464,HANGING METAL HEART LANTERN,12,2010-10-11 12:18:00,1.65,17419.0,United Kingdom,19.799999999999997
539958,85180A,RED HEARTS LIGHT CHAIN ,6,2010-12-23 13:26:00,2.51,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,15.059999999999999
554964,15056N,EDWARDIAN PARASOL NATURAL,1,2011-05-27 15:57:00,5.95,15867.0,United Kingdom,5.95
547415,22236,CAKE STAND 3 TIER MAGIC GARDEN,2,2011-03-23 10:08:00,12.75,17102.0,United Kingdom,25.5
569965,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2011-10-06 18:47:00,12.75,18109.0,United Kingdom,25.5
524879,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,2,2010-10-01 10:45:00,9.95,16101.0,United Kingdom,19.9
543399,22659,LUNCH BOX I LOVE LONDON,1,2011-02-08 11:07:00,4.13,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,4.13
561220,21508,VINTAGE KID DOLLY CARD ,12,2011-07-26 09:20:00,0.42,17734.0,United Kingdom,5.04
514841,21737,SET 3 WICKER LOG BASKETS,3,2010-07-06 15:05:00,19.95,12749.0,United Kingdom,59.849999999999994
547386,85099B,JUMBO BAG RED RETROSPOT,4,2011-03-22 15:52:00,4.13,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,16.52
526710,22601,CHRISTMAS RETROSPOT ANGEL WOOD,24,2010-10-12 16:37:00,0.85,15151.0,United Kingdom,20.4
526871,22197,SMALL POPCORN HOLDER,11,2010-10-13 14:03:00,0.85,17814.0,United Kingdom,9.35
575299,23188,VINTAGE  2 METRE FOLDING RULER,12,2011-11-09 12:30:00,1.65,14691.0,United Kingdom,19.799999999999997
532826,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-11-15 09:32:00,11.02,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,11.02
498157,22287,"DECORATION , WOBBLY CHICKEN, METAL ",12,2010-02-17 11:40:00,1.65,14244.0,United Kingdom,19.799999999999997
574311,23319,BOX OF 6 MINI 50'S CRACKERS,6,2011-11-03 16:56:00,2.49,15640.0,United Kingdom,14.940000000000001
512781,22508,DOORSTOP RETROSPOT HEART,2,2010-06-17 18:17:00,3.75,17341.0,United Kingdom,7.5
572122,23395,BELLE JARDINIERE CUSHION COVER,8,2011-10-21 08:24:00,3.75,15969.0,United Kingdom,30.0
572026,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-10-20 11:40:00,1.65,13245.0,United Kingdom,9.899999999999999
576329,84876B,GREEN HEART COMPACT MIRROR,1,2011-11-14 15:22:00,7.46,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,7.46
496900,20771,CHRYSANTHEMUM  JOURNAL,6,2010-02-04 14:19:00,2.55,17138.0,United Kingdom,15.299999999999999
491193,20665,RED SPOTTY PURSE ,12,2009-12-10 12:44:00,2.95,13091.0,United Kingdom,35.400000000000006
531857,21843,RED RETROSPOT CAKE STAND,3,2010-11-10 10:18:00,10.95,17644.0,United Kingdom,32.849999999999994
528313,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-10-21 12:22:00,2.55,13047.0,United Kingdom,81.6
501832,22203,MILK PAN RED RETROSPOT,1,2010-03-19 16:43:00,7.62,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,7.62
520363,21915,RED  HARMONICA IN BOX ,1,2010-08-25 14:04:00,2.51,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.51
513099,22386,JUMBO BAG PINK WITH WHITE SPOTS,9,2010-06-21 15:13:00,4.21,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,37.89
492593,21740,COSY SLIPPER SHOES LARGE RED,1,2009-12-17 15:44:00,2.95,15917.0,United Kingdom,2.95
575491,22423,REGENCY CAKESTAND 3 TIER,1,2011-11-09 17:47:00,12.75,15531.0,United Kingdom,12.75
538510,21973,SET OF 36 MUSHROOM PAPER DOILIES,1,2010-12-12 13:47:00,1.45,18004.0,United Kingdom,1.45
504668,15056P,EDWARDIAN PARASOL PINK,12,2010-04-15 15:12:00,5.95,13013.0,United Kingdom,71.4
560999,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,2011-07-22 14:13:00,1.95,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,1.95
538877,22384,LUNCH BAG PINK POLKADOT,1,2010-12-14 15:29:00,5.06,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,5.06
490078,85098B,BLUE FLYING SINGING CANARY,4,2009-12-03 15:09:00,3.75,17853.0,United Kingdom,15.0
542344,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,1,2011-01-27 11:30:00,1.63,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,1.63
535273,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,24,2010-11-25 13:49:00,0.65,17989.0,United Kingdom,15.600000000000001
570872,22079,RIBBON REEL HEARTS DESIGN ,1,2011-10-12 16:40:00,3.29,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,3.29
522814,22450,SILK PURSE BABUSHKA BLUE,6,2010-09-16 18:24:00,3.35,12921.0,United Kingdom,20.1
521577,82583,HOT BATHS METAL SIGN,12,2010-09-07 12:30:00,2.1,13001.0,United Kingdom,25.200000000000003
566869,22423,REGENCY CAKESTAND 3 TIER,6,2011-09-15 13:20:00,12.75,13658.0,United Kingdom,76.5
550332,85204,HANGING WOOD AND FELT FLOWER,7,2011-04-17 13:53:00,0.42,13474.0,United Kingdom,2.94
557330,22564,ALPHABET STENCIL CRAFT,12,2011-06-20 10:20:00,1.25,14291.0,United Kingdom,15.0
500836,21399,BLUE  SPOTTY  COFFEE MUG,6,2010-03-10 12:03:00,2.1,16846.0,United Kingdom,12.600000000000001
572862,22150,3 STRIPEY MICE FELTCRAFT,2,2011-10-26 12:48:00,1.95,16750.0,United Kingdom,3.9
579548,79321,CHILLI LIGHTS,4,2011-11-30 10:44:00,5.75,15073.0,United Kingdom,23.0
526870,22737,RIBBON REEL CHRISTMAS PRESENT ,5,2010-10-13 13:41:00,1.65,14498.0,United Kingdom,8.25
581425,21181,PLEASE ONE PERSON METAL SIGN,7,2011-12-08 15:31:00,2.1,14796.0,United Kingdom,14.700000000000001
519612,22519,CHILDS GARDEN BRUSH PINK,1,2010-08-18 17:41:00,2.1,15154.0,United Kingdom,2.1
569230,23247,BISCUIT TIN 50'S CHRISTMAS,1,2011-10-02 15:07:00,2.89,16533.0,United Kingdom,2.89
529326,22434,BALLOON PUMP WITH 10 BALLOONS,1,2010-10-27 14:14:00,1.95,13547.0,United Kingdom,1.95
498588,21624,VINTAGE UNION JACK DOORSTOP,3,2010-02-21 15:18:00,5.95,12945.0,United Kingdom,17.85
540364,21272,SALLE DE BAIN HOOK,3,2011-01-06 16:03:00,1.25,14505.0,United Kingdom,3.75
516776,21616,4 PEAR BOTANICAL DINNER CANDLES,1,2010-07-22 19:42:00,3.75,14166.0,United Kingdom,3.75
550514,22489,PACK OF 12 TRADITIONAL CRAYONS,24,2011-04-18 16:49:00,0.42,14631.0,United Kingdom,10.08
574076,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2011-11-02 15:38:00,4.96,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,4.96
503443,22096,PINK PAISLEY SQUARE TISSUE BOX ,12,2010-04-01 10:34:00,1.25,15754.0,United Kingdom,15.0
556089,20655,QUEEN OF SKIES LUGGAGE TAG,1,2011-06-08 15:25:00,2.46,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.46
576617,21949,SET OF 6 STRAWBERRY CHOPSTICKS,1,2011-11-15 16:57:00,2.46,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.46
523156,21508,VINTAGE KID DOLLY CARD ,12,2010-09-20 15:12:00,0.42,13599.0,United Kingdom,5.04
566589,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-09-13 14:50:00,1.25,14753.0,United Kingdom,15.0
513413,22427,ENAMEL FLOWER JUG CREAM,3,2010-06-24 12:13:00,5.95,13778.0,United Kingdom,17.85
566042,23182,TOILET SIGN OCCUPIED OR VACANT,1,2011-09-08 13:53:00,0.83,17811.0,United Kingdom,0.83
564356,20727,LUNCH BAG  BLACK SKULL.,10,2011-08-24 15:47:00,1.65,13969.0,United Kingdom,16.5
